symbol,mean_daily_return,annualized_expected_return,daily_volatility,annualized_volatility,return_observations,prediction_date,market_state_date,q_hold,q_buy,q_sell,selected_q_value,action_id,trade_action,top30_probability,agent2_rank,agent3_score,agent3_rank,risk_level,risk_decision,risk_adjusted_weight,eligible_for_mpt,forced_weight,historical_volatility_annual,individual_var_percent,sharpe_ratio,risk_contribution_percent,max_drawdown_percent,paper_core_risk_score,mpt_expected_return,mpt_weight,mpt_allocation_percent,sell_zero_weight_enforced,mpt_allocation_rank,rl_action_mask,rl_raw_weight,rl_adjusted_weight,rl_adjusted_allocation_percent,rl_weight_change,rl_absolute_weight_change,rl_feedback,dqn_q_margin,rl_allocation_rank,final_target_weight,final_target_allocation_percent
BHARATFORG,0.001009219514484,0.2894233074147887,0.0169117932685018,0.2684663952755522,105,2025-12-01,2025-12-01,-1.180329203605652,-1.1844605207443235,-1.182900309562683,-1.180329203605652,0,HOLD,0.4076607227325439,9,0.593830361366272,2,LOW,WATCH,0.1135562986081203,True,,0.3115520330603044,3.228178762306181,0.413414710912352,7.580202594375139,-31.01348711443184,0.7999999999999999,0.2543233176499899,0.2124050458974027,21.240504589740272,False,1,1.0,0.2124050458974027,0.21240504589740275,21.240504589740276,5.551115123125783e-17,5.551115123125783e-17,HOLD_MPT_ALLOCATION,0.002571105957031028,1,0.21240504589740275,21.240504589740276
HBLENGINE,0.0041418956183086,1.8337532742281264,0.0314975134709225,0.5000075253658075,105,2025-12-01,2025-12-01,-1.214816927909851,-1.1900211572647097,-1.195862889289856,-1.1900211572647097,1,BUY,0.5249953866004944,4,0.4458310266335805,9,MEDIUM,ACCEPTABLE,0.0852548547243128,True,,0.5291578621460876,5.482924170668779,1.027501475838802,12.78879188673813,-42.346434980719685,0.4333333333333333,1.0437576958137855,0.1917143049545384,19.17143049545384,False,2,1.0,0.1917143049545384,0.19171430495453845,19.171430495453844,5.551115123125783e-17,5.551115123125783e-17,BUY_MPT_ALLOCATION,0.005841732025146262,2,0.19171430495453845,19.171430495453844
CGCL,0.0010870009702551,0.3149195359207017,0.0182898333933055,0.290342104076946,105,2025-12-01,2025-12-01,-1.1546837091445925,-1.183026909828186,-1.17999005317688,-1.1546837091445925,0,HOLD,0.4239571392536163,8,0.4119785696268082,10,HIGH,CAUTION,0.0787813566235505,True,,0.4609835023346811,4.776528457839636,-0.0065870653033589,9.220181001407536,-29.15298907524525,0.3,0.2739242445043061,0.1482783577719474,14.82783577719474,False,3,1.0,0.1482783577719474,0.14827835777194742,14.827835777194743,2.7755575615628914e-17,2.7755575615628914e-17,HOLD_MPT_ALLOCATION,0.025306344032287598,3,0.14827835777194742,14.827835777194743
CREDITACC,0.0012564912861101,0.3722298514868087,0.0226402411089295,0.3594026855806126,105,2025-12-01,2025-12-01,-1.193009376525879,-1.200363039970398,-1.2002638578414917,-1.193009376525879,0,HOLD,0.430004745721817,7,0.5016690395275751,7,MEDIUM,WATCH,0.0959325810219138,True,,0.4992462768447059,5.1729921716112095,0.8926955306837954,9.615179938756162,-21.180217089799047,0.4666666666666666,0.3166358040997581,0.1210681967464396,12.106819674643967,False,4,1.0,0.1210681967464396,0.12106819674643962,12.106819674643962,2.7755575615628914e-17,2.7755575615628914e-17,HOLD_MPT_ALLOCATION,0.007254481315612793,4,0.12106819674643962,12.106819674643962
360ONE,0.0001079739298172,0.0275814778943113,0.0173143351558163,0.2748565496322773,105,2025-12-01,2025-12-01,-1.145761489868164,-1.172850489616394,-1.1689388751983645,-1.145761489868164,0,HOLD,0.3825251162052154,10,0.5112625581026078,6,LOW,WATCH,0.0977671191844666,True,,0.3930674299848966,4.072809017381395,0.412297516862134,7.805470744445178,-37.667195576841614,0.7000000000000001,0.0272094303139443,0.1046428878132329,10.464288781323296,False,5,1.0,0.1046428878132329,0.10464288781323293,10.464288781323292,2.7755575615628914e-17,2.7755575615628914e-17,HOLD_MPT_ALLOCATION,0.023177385330200417,5,0.10464288781323293,10.464288781323292
MRPL,0.0014849793632864,0.4534459056121456,0.0255620791291056,0.4057854262162079,105,2025-12-01,2025-12-01,-1.2065285444259644,-1.2268309593200684,-1.223768711090088,-1.2065285444259644,0,HOLD,0.6166498064994812,2,0.5549915699164072,4,MEDIUM,ACCEPTABLE,0.1061292795696999,True,,0.4194162112973602,4.345824652715353,0.3320890883015812,10.06226017598424,-35.45512566112513,0.4666666666666666,0.374214799548186,0.0983054649091975,9.830546490919753,False,6,1.0,0.0983054649091975,0.09830546490919753,9.830546490919753,2.7755575615628914e-17,2.7755575615628914e-17,HOLD_MPT_ALLOCATION,0.017240166664123535,6,0.09830546490919753,9.830546490919753
IDEA,0.00333856050141,1.3161723407708346,0.0341880120771888,0.5427178666554864,105,2025-12-01,2025-12-01,-1.204584717750549,-1.2210414409637451,-1.220504641532898,-1.204584717750549,0,HOLD,0.6222227215766907,1,0.447778027455012,8,HIGH,CAUTION,0.0856271735228331,True,,0.5496061351192612,5.69480107575404,0.7737624083783557,13.900267317954496,-38.12876906449248,0.2666666666666666,0.8413172463553416,0.0695730505573509,6.957305055735094,False,7,1.0,0.0695730505573509,0.06957305055735091,6.957305055735091,1.3877787807814457e-17,1.3877787807814457e-17,HOLD_MPT_ALLOCATION,0.015919923782348855,7,0.06957305055735091,6.957305055735091
HINDCOPPER,0.0022259301566428,0.7512170860837271,0.0275746463970739,0.4377339411432051,105,2025-12-01,2025-12-01,-1.132917046546936,-1.1525009870529177,-1.16061532497406,-1.132917046546936,0,HOLD,0.5750710368156433,3,0.5375355184078217,5,MEDIUM,ACCEPTABLE,0.1027912141446399,True,,0.4391447610420553,4.550244070786037,0.6601202701856964,12.968117500918986,-35.72649572649572,0.5,0.5609343994739897,0.0540126913498905,5.40126913498905,False,8,1.0,0.0540126913498905,0.054012691349890514,5.401269134989051,1.3877787807814457e-17,1.3877787807814457e-17,HOLD_MPT_ALLOCATION,0.019583940505981667,8,0.054012691349890514,5.401269134989051
GVT&D,0.0018756206607326,0.6035400202920842,0.0223355181808668,0.3545653590620133,105,2025-12-01,2025-12-01,-1.2216540575027466,-1.2156388759613037,-1.2062907218933103,-1.2062907218933103,2,SELL,0.4862880706787109,6,0.5831440353393555,3,LOW,WATCH,0.1115127863388179,False,0.0,0.4191988134001295,4.343572061814513,1.2328626834016114,8.586462931728533,-39.90258384190537,0.7999999999999999,0.4726564065046265,0.0,0.0,True,9,0.0,0.0,0.0,0.0,0.0,0.0,SELL_ZERO_ALLOCATION,0.009348154067993386,9,0.0,0.0
HONASA,-0.0006172747814989,-0.1440996081318148,0.0175930974727168,0.2792817642247671,105,2025-12-01,2025-12-01,-1.2362786531448364,-1.2284910678863523,-1.2135003805160522,-1.2135003805160522,2,SELL,0.4894085824489593,5,0.6413709578911463,1,LOW,WATCH,0.1226473362616447,False,0.0,0.4106521725291417,4.255015154392758,0.784474348657065,7.473065907691609,-27.82827555788182,0.7666666666666666,-0.1555532449377429,0.0,0.0,True,9,0.0,0.0,0.0,0.0,0.0,0.0,SELL_ZERO_ALLOCATION,0.014990687370300071,9,0.0,0.0
