symbol,prediction_date,agent2_rank,top30_probability,ensemble_std,trend_class,historical_volatility_annual,individual_var_percent,sharpe_ratio,risk_contribution_percent,component_var_percent,max_drawdown_percent,current_drawdown_percent,volatility_score,var_score,sharpe_score,paper_core_risk_score,drawdown_score,model_confidence_score,trend_score,agent3_score,agent3_rank,risk_level,risk_decision,risk_adjusted_weight,risk_adjusted_weight_percent
HONASA,2025-12-01,5,0.48940858244895935,0.012562382034957409,NOT_TOP30,0.41065217252914177,4.255015154392758,0.784474348657065,7.473065907691609,0.18937269548905375,-27.82827555788182,-12.968872348376992,0.7999999999999999,0.7999999999999999,0.7,0.7666666666666666,0.9,0.9,0.48940858244895935,0.6413709578911463,1,LOW,WATCH,0.12264733626164478,12.264733626164478
BHARATFORG,2025-12-01,9,0.40766072273254395,0.016210002824664116,NOT_TOP30,0.31155203306030443,3.228178762306181,0.41341471091235205,7.580202594375139,0.1920876137560189,-31.013487114431836,-0.91273348205958,1.0,1.0,0.4,0.7999999999999999,0.7,0.7999999999999999,0.40766072273254395,0.593830361366272,2,LOW,WATCH,0.11355629860812036,11.355629860812035
GVT&D,2025-12-01,6,0.48628807067871094,0.08394761383533478,NOT_TOP30,0.41919881340012954,4.343572061814513,1.2328626834016114,8.586462931728533,0.2175869516184357,-39.90258384190537,-11.66435128781641,0.7,0.7,1.0,0.7999999999999999,0.19999999999999998,0.1,0.48628807067871094,0.5831440353393555,3,LOW,WATCH,0.11151278633881796,11.151278633881796
MRPL,2025-12-01,2,0.6166498064994812,0.044422537088394165,TOP30,0.4194162112973602,4.345824652715353,0.3320890883015812,10.06226017598424,0.25498468175920325,-35.45512566112513,-11.748036757118264,0.6,0.6,0.2,0.4666666666666666,0.6,0.4,0.6166498064994812,0.5549915699164072,4,MEDIUM,ACCEPTABLE,0.10612927956969997,10.612927956969997
HINDCOPPER,2025-12-01,3,0.5750710368156433,0.003910033032298088,TOP30,0.4391447610420553,4.550244070786037,0.6601202701856964,12.968117500918986,0.32862113045733676,-35.72649572649572,-6.824112733770815,0.5,0.5,0.5,0.5,0.5,1.0,0.5750710368156433,0.5375355184078217,5,MEDIUM,ACCEPTABLE,0.10279121414463993,10.279121414463994
360ONE,2025-12-01,10,0.38252511620521545,0.023505020886659622,NOT_TOP30,0.3930674299848966,4.072809017381395,0.412297516862134,7.805470744445178,0.1977960655900498,-37.667195576841614,-8.31437949011754,0.9,0.9,0.3,0.7000000000000001,0.4,0.6,0.38252511620521545,0.5112625581026078,6,LOW,WATCH,0.09776711918446666,9.776711918446667
CREDITACC,2025-12-01,7,0.430004745721817,0.024011580273509026,NOT_TOP30,0.49924627684470596,5.1729921716112095,0.8926955306837954,9.615179938756162,0.24365535713266323,-21.180217089799047,-9.010898232067143,0.29999999999999993,0.29999999999999993,0.8,0.4666666666666666,1.0,0.5,0.430004745721817,0.5016690395275751,7,MEDIUM,WATCH,0.09593258102191383,9.593258102191383
IDEA,2025-12-01,1,0.6222227215766907,0.05371950939297676,TOP30,0.5496061351192612,5.69480107575404,0.7737624083783557,13.900267317954496,0.35224245611297655,-38.128769064492474,-9.232169231693288,0.1,0.1,0.6,0.26666666666666666,0.29999999999999993,0.29999999999999993,0.6222227215766907,0.447778027455012,8,HIGH,CAUTION,0.08562717352283311,8.562717352283311
HBLENGINE,2025-12-01,4,0.5249953866004944,0.060771193355321884,TOP30,0.5291578621460876,5.482924170668779,1.0275014758388021,12.78879188673813,0.3240768944841592,-42.346434980719685,-20.790868501128156,0.19999999999999998,0.19999999999999998,0.9,0.43333333333333335,0.1,0.19999999999999998,0.5249953866004944,0.44583102663358054,9,MEDIUM,ACCEPTABLE,0.08525485472431288,8.525485472431289
CGCL,2025-12-01,8,0.42395713925361633,0.02156209573149681,NOT_TOP30,0.46098350233468116,4.776528457839636,-0.006587065303358922,9.220181001407536,0.23364580892246595,-29.15298907524525,-10.763529132750904,0.4,0.4,0.1,0.3,0.7999999999999999,0.7,0.42395713925361633,0.4119785696268082,10,HIGH,CAUTION,0.0787813566235505,7.87813566235505
